,Model Name,True Positive,False Negative,False Positive,True Negative,Accuracy,Precision,Recall,F1 Score,Specificity,MCC,ROC_AUC_Score,Balanced Accuracy
0,LogisticRegression(),2815,3177,1309,22658,0.85,0.683,0.47,0.557,0.945,0.482,0.7075881463458629,0.708
1,DecisionTreeClassifier(),4471,1521,3405,20562,0.836,0.568,0.746,0.645,0.858,0.549,0.8020456010024465,0.802
2,RandomForestClassifier(),5278,714,485,23482,0.96,0.916,0.881,0.898,0.98,0.873,0.9303024817223372,0.93
3,ExtraTreesClassifier(),5297,695,231,23736,0.969,0.958,0.884,0.92,0.99,0.902,0.9371868817120202,0.937
4,KNeighborsClassifier(),3517,2475,1768,22199,0.858,0.665,0.587,0.624,0.926,0.539,0.7565905839432201,0.756
5,SVC(probability=True),2794,3198,812,23155,0.866,0.775,0.466,0.582,0.966,0.532,0.7162042331458982,0.716
6,BaggingClassifier(n_estimators=100),5079,913,637,23330,0.948,0.889,0.848,0.868,0.973,0.836,0.910525980928494,0.91
7,GradientBoostingClassifier(),3258,2734,1371,22596,0.863,0.704,0.544,0.614,0.943,0.538,0.7432606557982513,0.744
8,LGBMClassifier(),3352,2640,1146,22821,0.874,0.745,0.559,0.639,0.952,0.573,0.7557984017075549,0.756
9,GaussianNB(),4266,1726,5223,18744,0.768,0.45,0.712,0.551,0.782,0.425,0.7470123096493995,0.747
